Codigo;Nombre;Categoria;Proveedor;Stock;Costo;Precio;Descripcion
PLUT0001;Budin VEGANO;Panaderia Mayorista VEGANA;Plutarco;-1412;1082.95;4800.00;Los sabores de los budines varían según a la oferta de frutas orgánicas empleadas para su elaboración. Harina de trigo100% integral orgánica, lino, aceite de girasol, azúcar rubia orgánica y una pizca de de sal marina
PLUT0002;Chapati (pan para sandwich);Panaderia Mayorista VEGANA;Plutarco;-498;165.58;750.00;harina de trigo100% integral orgánica, semillas de lino, girasol y sésamo, levadura, masa madre, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0017;Cortezas 100g Envasadas;Panaderia Mayorista VEGANA;Plutarco;-467;950.00;1700.00;Envasadas en bolsas transparentes. / Harina de trigo 100% integral, semillas de lino, polvo de hornear, masa madre, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0021;Cortezas 250g envasadas;Panaderia Mayorista VEGANA;Plutarco;-1402;0.00;3650.00;Envasadas en bolsas transparentes. / Harina de trigo 100% integral, semillas de lino, polvo de hornear, masa madre, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0020;Cortezas 500g envasadas;Panaderia Mayorista VEGANA;Plutarco;-442;0.00;7050.00;Envasadas en bolsas transparentes. / Harina de trigo 100% integral, semillas de lino, polvo de hornear, masa madre, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0053;Cortezas 100g eneldo y cebolla envasadas;Panaderia Mayorista VEGANA;Plutarco;-442;0.00;1700.00;Envasadas en bolsas transparentes. / Harina de trigo 100% integral, semillas de lino, polvo de hornear, masa madre, aceite de oliva orgánico, semillas de eneldo, cebolla deshidratada, sal marina y una pizca de azúcar rubia orgánica
PLUT0003;Cortezas x kg;Panaderia Mayorista VEGANA;Plutarco;-108;3168.30;14000.00;Harina de trigo 100% integral, semillas de lino, polvo de hornear, masa madre, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0051;Galleton dulce chips;Panaderia Mayorista VEGANA;;0;0.00;2150.00;Cada unidad de galletón de chocolate va envasado en bolsa transparente. Harina de trigo 100% integral, nuez, semillas de girasol, polvo de hornear, azúcar rubia orgánica, azucar mascabo agroecológica, chips de chocolate semiamargo, ralladura de limón,aceite de girasol y una pizca de sal marina
PLUT0004;Galleton dulce frutos secos;Panaderia;Plutarco;-1292;366.95;2150.00;harina de trigo 100% integral, nuez, semillas de girasol, polvo de hornear, azúcar rubia orgánica, azucar mascabo agroecológica, canela en polvo, aceite de girasol y una pizca de sal marina
PLUT0052;Galleton dulce membrillo;Panaderia Mayorista VEGANA;;0;0.00;2150.00;Cada unidad de galletón de membrillo va envasado en bolsa transparente. Harina de trigo 100% integral, polvo de hornear, azúcar rubia orgánica, azucar mascabo agroecológica, dulce de membrillo agroecológico, ralladura de limón, aceite de girasol y una pizca de sal marina
PLUT0005;Granola x kg;Panaderia Mayorista VEGANA;Plutarco;-109;3275.70;14000.00; (Selecciona la cantidad de Kilogramos que desees) (avena, semillas de girasol, nuez, maní, pasas de uva, coco rallado, esencia natural de vainilla, azúcar mascabo, aceite de girasol
PLUT0006;Pan de arroz yamani;Panaderia Mayorista VEGANA;Plutarco;-942;1082.95;4300.00;arroz yamaní 100% integral, fécula de maiz, fécula de mandioca, levadura, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0009;Pan de centeno (SOLO LUNES);Panaderia Mayorista VEGANA;Plutarco;-399;1114.28;3900.00;harina 100% de cento, levadura, aceite de oliva orgánico, sal marina y una pizca de azucar rubia orgánica
PLUT0008;Pan de oliva y sal marina;Panaderia Mayorista VEGANA;Plutarco;-1382;997.93;3900.00;harina de trigo100% integral orgánica, levadura, masa madre, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0010;Pan de Sarraceno;Panaderia Mayorista VEGANA;Plutarco;-514;1114.28;5250.00;100% masa madre de harina de Sarraceno, aceite de oliva orgánico, psyllium, sal marina y una pizca de azúcar rubia orgánica
PLUT0061;1/2 Pan de Sarraceno;Panaderia Mayorista VEGANA;Plutarco;-514;1114.28;2625.00;100% masa madre de harina de Sarraceno, aceite de oliva orgánico, psyllium, sal marina y una pizca de azúcar rubia orgánica
PLUT0007;Pan integral con Semillas;Panaderia Mayorista VEGANA;Plutarco;-3947;930.80;3800.00;harina de trigo 100% integral orgánica, semillas de lino, girasol y sésamo, levadura, masa madre, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0062;Pan integral SIN SAL;Panaderia Mayorista VEGANA;Plutarco;-3947;930.80;3800.00;harina de trigo 100% integral orgánica, semillas de lino, girasol y sésamo, levadura, masa madre, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0060;Pan Vollkorn;Panaderia Mayorista VEGANA;Plutarco;-194;888.75;4300.00;100% masa madre de grano entero de centeno y harina de centeno, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0013;Pepas de membrillo 200 gr;Panaderia Mayorista VEGANA;Plutarco;-1314;747.33;2300.00;Envasadas en potes trasparentes. Harina de trigo 100% integral, polvo de hornear, azúcar rubia orgánica, azucar mascabo agroecológica, dulce de membrillo agroecológico, ralladura de limón, aceite de girasol y una pizca de sal marina
PLUT0050;Pepitos con chips 200 gr;Panaderia Mayorista VEGANA;;0;0.00;2300.00;Envasadas en potes transparentes. Harina de trigo 100% integral, nuez, semillas de girasol, polvo de hornear, azúcar rubia orgánica, azucar mascabo agroecológica, chips de chocolate semiamargo, ralladura de limón,aceite de girasol y una pizca de sal marina). IMPORTANTE: el chocolate puede tener trazas de leche.
PLUT0015;Pre-pizza de arroz;Panaderia Mayorista VEGANA;Plutarco;-283;684.68;2300.00;arroz yamaní 100% integral, fécula de maiz, fécula de mandioca, levadura, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0014;Pre-pizza integral;Panaderia Mayorista VEGANA;Plutarco;-500;420.65;1800.00;harina de trigo100% integral orgánica, semillas de lino, girasol y sésamo, levadura, masa madre, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0016;Torta Galesa;Panaderia Mayorista VEGANA;Plutarco;-295;1691.55;6600.00;Envuelta en papel film. Harina de trigo 100% integral orgánica, cacao en polvo, especias, nuez, semilla de girasol, maní, ciruelas deshidratadas, vino, lino, azúcar rubia orgánica, azúcar mascabo agroecológica, polvo de hornear, aceite de girasol y una pizca de sal
