Codigo;Nombre;Categoria;Proveedor;Precio;Descripcion
PLUT0001;Budin VEGANO;Panaderia Mayorista VEGANA;Plutarco;4800.00;Los sabores de los budines varían según a la oferta de frutas orgánicas empleadas para su elaboración. Harina de trigo100% integral orgánica, lino, aceite de girasol, azúcar rubia orgánica y una pizca de de sal marina
PLUT0002;Chapati (pan para sandwich);Panaderia Mayorista VEGANA;Plutarco;750.00;harina de trigo100% integral orgánica, semillas de lino, girasol y sésamo, levadura, masa madre, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0017;Cortezas 100g Envasadas;Panaderia Mayorista VEGANA;Plutarco;1700.00;Envasadas en bolsas transparentes. / Harina de trigo 100% integral, semillas de lino, polvo de hornear, masa madre, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0021;Cortezas 250g envasadas;Panaderia Mayorista VEGANA;Plutarco;3650.00;Envasadas en bolsas transparentes. / Harina de trigo 100% integral, semillas de lino, polvo de hornear, masa madre, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0020;Cortezas 500g envasadas;Panaderia Mayorista VEGANA;Plutarco;7050.00;Envasadas en bolsas transparentes. / Harina de trigo 100% integral, semillas de lino, polvo de hornear, masa madre, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0053;Cortezas 100g eneldo y cebolla envasadas;Panaderia Mayorista VEGANA;Plutarco;1700.00;Envasadas en bolsas transparentes. / Harina de trigo 100% integral, semillas de lino, polvo de hornear, masa madre, aceite de oliva orgánico, semillas de eneldo, cebolla deshidratada, sal marina y una pizca de azúcar rubia orgánica
PLUT0003;Cortezas x kg;Panaderia Mayorista VEGANA;Plutarco;14000.00;Harina de trigo 100% integral, semillas de lino, polvo de hornear, masa madre, aceite de oliva orgánico, sal marina y una pizca de azúcar rubia orgánica
PLUT0051;Galleton dulce chips;Panaderia Mayorista VEGANA;2150.00;Cada unidad de galletón de chocolate va envasado en bolsa transparente. Harina de trigo 100% integral, nuez, semillas de girasol, polvo de hornear, azúcar rubia orgánica, azucar mascabo agroecológica, chips de chocolate semiamargo, ralladura de limón,aceite de girasol y una pizca de sal marina
PLUT0004;Galleton dulce frutos secos;Panaderia;Plutarco;2150.00;harina de trigo 100% integral, nuez, semillas de girasol, polvo de hornear, azúcar rubia orgánica, azucar mascabo agroecológica, canela en polvo, aceite de girasol y una pizca de sal marina
PLUT0052;Galleton dulce membrillo;Panaderia Mayorista VEGANA;2150.00;Cada unidad de galletón de membrillo va envasado en bolsa transparente. Harina de trigo 100% integral, polvo de hornear, azúcar rubia orgánica, azucar mascabo agroecológica, dulce de membrillo agroecológico, ralladura de limón, aceite de girasol y una pizca de sal marina
